Algorithm,Accuracy,Precision,Recall,F1-score
Naive Bayes,0.987550672307999,0.9794019679160764,0.9990626830697129,0.9891346376923672
KNN,0.9996012670845978,0.9995314513295068,0.9997656707674283,0.9996485473289597
SVM,0.9990917750260284,0.9992578704788688,0.9991407928139036,0.9991993282168453
Random Forest,0.9998892408568327,0.9999218872051242,0.9998828353837141,0.9999023609131208
