Algorithm,Accuracy,Precision,Recall,F1-score
Naive Bayes,0.768498275275713,0.7888048544543136,0.7914497485220153,0.7901250880902043
KNN,0.8438,0.7969913613345249,0.9641441441441442,0.8726353555120678
SVM,0.8300782198902007,0.793959857437629,0.9336892261537104,0.8581740029601995
Random Forest,0.8708521595491425,0.8165447280556113,0.9872496249889703,0.8938197142029738
